movieId,imdbId,tmdbId,title,genres,userId,rating,tag
1,114709,862.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,336,4.0,pixar
1,114709,862.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,474,4.0,pixar
1,114709,862.0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,567,3.5,fun
2,113497,8844.0,Jumanji (1995),Adventure|Children|Fantasy,62,4.0,fantasy
2,113497,8844.0,Jumanji (1995),Adventure|Children|Fantasy,62,4.0,magic board game
2,113497,8844.0,Jumanji (1995),Adventure|Children|Fantasy,62,4.0,Robin Williams
2,113497,8844.0,Jumanji (1995),Adventure|Children|Fantasy,474,3.0,game
5,113041,11862.0,Father of the Bride Part II (1995),Comedy,474,1.5,pregnancy
5,113041,11862.0,Father of the Bride Part II (1995),Comedy,474,1.5,remake
7,114319,11860.0,Sabrina (1995),Comedy|Romance,474,3.0,remake
11,112346,9087.0,"American President, The (1995)",Comedy|Drama|Romance,474,2.5,politics
11,112346,9087.0,"American President, The (1995)",Comedy|Drama|Romance,474,2.5,president
14,113987,10858.0,Nixon (1995),Drama,474,3.0,politics
14,113987,10858.0,Nixon (1995),Drama,474,3.0,president
16,112641,524.0,Casino (1995),Crime|Drama,474,4.0,Mafia
17,114388,4584.0,Sense and Sensibility (1995),Drama|Romance,474,5.0,Jane Austen
21,113161,8012.0,Get Shorty (1995),Comedy|Crime|Thriller,474,4.0,Hollywood
22,112722,1710.0,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,474,3.0,serial killer
25,113627,451.0,Leaving Las Vegas (1995),Drama|Romance,474,3.5,alcoholism
26,114057,16420.0,Othello (1995),Drama,474,3.5,Shakespeare
28,114117,17015.0,Persuasion (1995),Drama|Romance,474,4.5,In Netflix queue
28,114117,17015.0,Persuasion (1995),Drama|Romance,474,4.5,Jane Austen
29,112682,902.0,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,474,3.5,kidnapping
31,112792,9909.0,Dangerous Minds (1995),Drama,474,3.0,high school
31,112792,9909.0,Dangerous Minds (1995),Drama,474,3.0,teacher
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,424,3.5,time travel
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,474,4.0,time travel
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,4.5,Brad Pitt
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,4.5,Bruce Willis
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,4.5,mindfuck
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,4.5,Post apocalyptic
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,4.5,post-apocalyptic
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,4.5,remake
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,4.5,time travel
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,477,4.5,twist ending
