user_id,item_id,title,actual_rating,predicted_rating
AF5AJ5V9T6LTS,B0006M56BK,Wilkinson Sword Double Edge Razor Blade Refills for Men - 5 Count,4.0,4.5
AF5AJ5V9T6LTS,B001QY8QXM,"Astra Platinum Double Edge Safety Razor Blades ,100 Blades (20 x 5)",5.0,4.5
AF5AJ5V9T6LTS,B00G5L867C,"Philips Sonicare Sonic Electric Rechargeable Toothbrush for Kids, HX6311/07",5.0,4.0
AF5AJ5V9T6LTS,B00W259T7G,"Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (150 grams) - Raspberry",4.0,4.0
A28F08XFZRKIH5,B0009RF9DW,Yardley By Yardley Of London Unisexs Lay It On Thick Hand &amp; Foot Cream 5.3 Oz,1.0,5.0
A28F08XFZRKIH5,B000FI4S1E,Fruits &amp; Passion Blue Refreshing Shower Gel - 6.7 fl. oz.,1.0,4.5
A28F08XFZRKIH5,B000URXP6E,Bonne Bell Smackers Bath and Body Starburst Collection,1.0,4.5
A28F08XFZRKIH5,B0012Y0ZG2,Bath &amp; Body Works Ile De Tahiti Moana Coconut Vanille Moana Body Wash with Tamanoi 8.5 oz,1.0,4.5
ABDR6IJ93HFIO,B000GLRREU,Waterpik Ultra Water Flosser,5.0,5.0
ABDR6IJ93HFIO,B000HP01UM,Caswell-Massey - Newport Soap on a Rope,5.0,5.0
ABDR6IJ93HFIO,B000WYJTZG,"Helen of Troy 1579 Tangle Free Hot Air Brush, White, 3/4 Inch Barrel",5.0,5.0
ABDR6IJ93HFIO,B001LFF31Y,Oral-B Indicator Contour Clean Soft Toothbrush 4 Count,5.0,5.0
ABDR6IJ93HFIO,B003QYSO46,"Orajel Severe Toothache &amp; Gum Relief Plus, Cooling Gel, 0.25 Oz",5.0,5.0
AOEUN9718KVRD,B000KHTDM4,MAKE UP FOR EVER Mist &amp; Fix 4.22 oz,5.0,5.0
AOEUN9718KVRD,B000NKJIXM,"Crest Pro-health Multi-Protection Rinse, Cool Wintergreen, 33.8 Fluid Ounce",3.0,5.0
AOEUN9718KVRD,B0010ZBORW,"Urban Spa Moisturizing Booties to Keep your Feet Smooth, Hydrated and Moisturized",4.0,5.0
AOEUN9718KVRD,B001LNODUS,Pre de Provence Maison French Dried Lavender Blossoms for Fragrance,2.0,5.0
AOEUN9718KVRD,B007V6JNE0,Revitalash By Revitalash Revitalash Advanced Eyelash Conditioner-- 3.5 Ml / .118 Oz,1.0,5.0
AOEUN9718KVRD,B00DY59MB6,Crest Pro-Health For Life CPC Antigingivitis/Antiplaque Smooth Mint Rinse 33.8 Fl Oz,2.0,5.0
AOEUN9718KVRD,B00EYZY6LQ,"Fekkai Full Blown Aerosol Foam Cond Us 6.6 Oz, 6.660-Fluid Ounce",3.0,5.0
AOEUN9718KVRD,B019FWRG3C,Pre De Provence Maison French Lavender Bath &amp; Shower Gel,2.0,5.0
AZTZ7SIIRXLXE,B000KQB1SY,"Redken Smooth Down Detangling Cream, 8.5 Ounce",2.0,5.0
AZTZ7SIIRXLXE,B001V6WWIU," Hair Rules Curly Whip Styling, 8 oz",1.0,5.0
AZTZ7SIIRXLXE,B0026TMWK4,Kids Natural Deodorant for Boys - Citrus Sport - by Junior Varsity Naturals,2.0,5.0
AZTZ7SIIRXLXE,B00JIESMR2,Dermacol Make-Up Cover Foundation 30g (218),3.0,5.0
A2503LT8PZIHAD,B000NKJIXM,"Crest Pro-health Multi-Protection Rinse, Cool Wintergreen, 33.8 Fluid Ounce",3.0,5.0
A2503LT8PZIHAD,B0010ZBORW,"Urban Spa Moisturizing Booties to Keep your Feet Smooth, Hydrated and Moisturized",4.0,5.0
A2503LT8PZIHAD,B001E96LUO,"Clean &amp; Clear Deep Action Cream Facial Cleanser for Sensitive Skin, Gentle Daily Face Wash with Oil-Free, 6.5 oz (Pack of 4)",4.0,4.5
A2503LT8PZIHAD,B001ET7FZE, Colgate Fluoride Toothpaste Strawberry Smash Liquid Gel 4.60 oz (Pack of 6) ,4.0,4.5
A2503LT8PZIHAD,B00L1I1VMG,"Crest Sensi-Stop Strips, 10 Count",3.0,5.0
A1X3ESYZ79H59E,B000NKJIXM,"Crest Pro-health Multi-Protection Rinse, Cool Wintergreen, 33.8 Fluid Ounce",3.0,5.0
A1X3ESYZ79H59E,B00DY59MB6,Crest Pro-Health For Life CPC Antigingivitis/Antiplaque Smooth Mint Rinse 33.8 Fl Oz,3.0,5.0
A1X3ESYZ79H59E,B00L1I1VMG,"Crest Sensi-Stop Strips, 10 Count",2.0,5.0
A1X3ESYZ79H59E,B00N2WQ2IW,Pantene Pro-V Volume Conditioner 12.0 Fluid Ounce (Product Size May Vary),4.0,5.0
A4SD8F79JBYG2,B000VV1YOY,"essie nail polish, cuticle care, primers and finishers",5.0,3.5
A4SD8F79JBYG2,B001LNODUS,Pre de Provence Maison French Dried Lavender Blossoms for Fragrance,2.0,4.0
A4SD8F79JBYG2,B008R7CNOE,Crest 3d White High Performance Whitening Whitestrips 10 Count,5.0,4.0
A4SD8F79JBYG2,B00W259T7G,"Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (150 grams) - Raspberry",5.0,4.5
A4SD8F79JBYG2,B019FWRG3C,Pre De Provence Maison French Lavender Bath &amp; Shower Gel,2.0,4.0
A1HKXBA4VSHFZZ,B000WYJTZG,"Helen of Troy 1579 Tangle Free Hot Air Brush, White, 3/4 Inch Barrel",2.0,5.0
A1HKXBA4VSHFZZ,B00JIESMR2,Dermacol Make-Up Cover Foundation 30g (218),1.0,5.0
A1HKXBA4VSHFZZ,B016ZNMAKI,3 Pieces (1Large+1Middle+1Small) Women Hair Bun Maker Styler Rings Donut Buns Doughnut Shaper Chignon Former,4.0,5.0
A1HKXBA4VSHFZZ,B017DXCGY4,BMC 0.4 fl oz Latex Poli-Peel Cuticle Protector Nail Art Polish Accessory - Two Bottles,4.0,5.0
A1HKXBA4VSHFZZ,B01GQ12URM,RUIMIO Eyebrow Shaper 4Pk &amp; Eyebrow Stencil 9Pk,5.0,5.0
A1OE51UYUU4KR8,B000XV745A,Albolene Moisturizing Cleanser Fragrance Free 12 oz (Pack of 2),1.0,5.0
A1OE51UYUU4KR8,B00A6IKZBU,Bellini DermaPad Anti-Wrinkle Reusable Chest Pad (1 Pad),3.0,5.0
A1OE51UYUU4KR8,B00OIQ4OFO,USonline911 Genuine Natural Hsiuyen Jade GuaSha Scraping Massage Tools for SPA Acupuncture Therapy Trigger Point Treatment,5.0,5.0
A1OE51UYUU4KR8,B007X6423K,Hansi Organics Natural Hemp Seed Oil 8oz,4.0,5.0
A2V5R832QCSOMX,B0010ZBORW,"Urban Spa Moisturizing Booties to Keep your Feet Smooth, Hydrated and Moisturized",4.0,5.0
A2V5R832QCSOMX,B006IB5T4W,"Aquaphor Healing Ointment,Advanced Therapy Skin Protectant 14 Ounce ( Pack May Vary )",5.0,5.0
A2V5R832QCSOMX,B00B7V273E,Mad Hippie Face Cream with Anti Wrinkle Peptide Complex 1.0 ounces,2.0,5.0
A2V5R832QCSOMX,B00W259T7G,"Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (150 grams) - Raspberry",5.0,5.0
A2Y8IDC1FKGNJC,B0010ZBORW,"Urban Spa Moisturizing Booties to Keep your Feet Smooth, Hydrated and Moisturized",3.0,5.0
A2Y8IDC1FKGNJC,B004FK7R02,essie Nail Color,1.0,5.0
A2Y8IDC1FKGNJC,B00AQXD2HO,SenzAway Tooth Desensitizing Gel,1.0,5.0
A2Y8IDC1FKGNJC,B00W259T7G,"Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (150 grams) - Raspberry",5.0,5.0
A16AXQ11SZA8SQ,B0010ZBORW,"Urban Spa Moisturizing Booties to Keep your Feet Smooth, Hydrated and Moisturized",4.0,5.0
A16AXQ11SZA8SQ,B0019ZD61A,"Gillette Bodywash, Dry Skin Hydrator &amp; Body Wash, 12-Ounce Bottle (Pack of 6)",4.0,4.5
A16AXQ11SZA8SQ,B0094G39KE,Glide Pro-Health For Life Smooth Mint Floss 35 Meters,2.0,5.0
A16AXQ11SZA8SQ,B00W259T7G,"Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (150 grams) - Raspberry",3.0,5.0
A16AXQ11SZA8SQ,B012KPK5PW,"Victoria Featherlight - Best Organic Weight Loss Detox Slimming the Body Wrap Kit To Lose Weight Quickly, Includes Ebook",4.0,5.0
A16AXQ11SZA8SQ,B013L9TX22,"Anti Aging Neck and Face Firming and Tightening Cream - 2 oz. With Hyaluronic Acid, Coenzyme (CoQ10), Licorice, Vitamin C, Glycolic. For sagging skin and wrinkles",3.0,5.0
A3091RP0SPZLMN,B0010ZBORW,"Urban Spa Moisturizing Booties to Keep your Feet Smooth, Hydrated and Moisturized",4.0,5.0
A3091RP0SPZLMN,B001LNODUS,Pre de Provence Maison French Dried Lavender Blossoms for Fragrance,4.0,5.0
A3091RP0SPZLMN,B00W259T7G,"Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (150 grams) - Raspberry",5.0,5.0
A3091RP0SPZLMN,B019FWRG3C,Pre De Provence Maison French Lavender Bath &amp; Shower Gel,4.0,5.0
A2R1HUYHXV7H18,B0010ZBORW,"Urban Spa Moisturizing Booties to Keep your Feet Smooth, Hydrated and Moisturized",4.0,5.0
A2R1HUYHXV7H18,B00EF1QRMU,"Toni&amp;Guy Glamour Volume Plumping Whip, 2.82 Fluid Ounce",4.0,5.0
A2R1HUYHXV7H18,B00M0RKBVY,"Glycolic Acid 30% At Home Chemical Peel for Your Best Microdermabrasion. This Anti-Aging Exfoliation Treatment Attacks Acne and Scarring, Diminishes Age Spots and Reduces Fine Lines",5.0,5.0
A2R1HUYHXV7H18,B00NM9IQ2K,Nerd Skincare Miraculous Brightening Facial Mask,4.0,5.0
A2R1HUYHXV7H18,B00W259T7G,"Pre de Provence Artisanal French Soap Bar Enriched with Shea Butter, Quad-Milled For A Smooth &amp; Rich Lather (150 grams) - Raspberry",5.0,5.0
A2R1HUYHXV7H18,B017146858,"Piero Lorenzo NT-01 Heavy Duty Metal Garden Hose Nozzle Sprayer / Car Wash Gun- 7 Spraying Patterns - High Pressure - For Car / Pet Washing, Garden/Lawn Watering,Deck/Floor Cleaning7 Spraying Patterns",5.0,5.0
A2GJX2KCUSR0EI,B0012XPRO8,"Whish Coconut Shaving Cream - Smooth, All Natural Shave Cream for Men &amp; Women, Leaves Skin so Soft, Shea Butter and Coconut Oil, Natural and Organic Skin Care - 5 oz. pump",4.0,5.0
A2GJX2KCUSR0EI,B0012XPRO8,"Whish Coconut Shaving Cream - Smooth, All Natural Shave Cream for Men &amp; Women, Leaves Skin so Soft, Shea Butter and Coconut Oil, Natural and Organic Skin Care - 5 oz. pump",3.0,5.0
A2GJX2KCUSR0EI,B001F51RAG,"Oral-B Glide Pro-Health Dental Floss, Original Floss, 50m, Pack of 6",5.0,5.0
A2GJX2KCUSR0EI,B001MW1MK2,"COVERGIRL Smoothers Moisturizing Concealer, 1 Tube (0.14 oz), For Fair Skin Tones, Solid Stick Concealer, Fragrance Free, Moisturizing (packaging may vary)",5.0,5.0
A2GJX2KCUSR0EI,B002RZZXYE,Kate Somerville&nbsp;ExfoliKate Intensive&nbsp;Exfoliating Treatment&nbsp;(5 Fl. Oz. Luxury Size),5.0,5.0
A2GJX2KCUSR0EI,B004AI7NXA,"Secret Antiperspirant and Deodorant for Women, Clinical Strength Soft Solid, Light and Fresh, 1.6 Oz",3.0,5.0
A2GJX2KCUSR0EI,B00592MMPA,"e.l.f. Matte Lip Color, Praline, 0.05 Ounce",4.0,5.0
A2GJX2KCUSR0EI,B00GHJOM2U,"Home Health Evercln, Face Cream, 1.69 Fluid Ounce",3.0,5.0
A2GJX2KCUSR0EI,B00MGK9Z8U,"Rimmel Provocalips 16hr Kissproof Lipstick, Kiss Fatal, 0.14 Fluid Ounce",5.0,4.5
A2GJX2KCUSR0EI,B00X4DKZKU,"Briogeo - Rosarco Milk Reparative Leave-In Conditioning Spray, Ultra-Lightweight Leave-In Conditioner for Those with Dry, Damaged, and Brittle Hair, 5 oz",4.0,5.0
